input_sha256,public_path,public_sha256,transform,replacement_occurrences
5a5954100c96554348de6855e2a1a102a5c38d8a02b2711d343d2e04595141c8,.gitignore,5a5954100c96554348de6855e2a1a102a5c38d8a02b2711d343d2e04595141c8,byte-identical,0
dccd1773d50f834ceb87a947651ddc49fc89495e2fd74450289ed84d0483604a,legacy/2026-09-20_AI_AND_HUMAN_REVIEW.md,7b03900520911b95fcb3f52b65af43b31c822e03e8e71ada4ba2d72b403eb05d,publication scope/provenance wording updated; analytical labels unchanged,0
19c7316191f21a8e43a8169ea52c07cd879cf47666fac7df73dcc3667dbd9c51,annotations/effect_semantics.json,4326f9cfdd4977ef691fe60bb10e9de48e8deda8bbdd5082eff2b84608d6897a,source locator alias substitution only,40
dbf977e5280f02190668b717b06a73abd78582bf665033ae911628c703aa9334,annotations/extra_calculation_specs.json,dbf977e5280f02190668b717b06a73abd78582bf665033ae911628c703aa9334,byte-identical,0
2fce0cf8691c3542b6ba4a4ef4d46042d5eb0f9529cfd0d58954353b7474b928,annotations/local_case_inputs.json,2fce0cf8691c3542b6ba4a4ef4d46042d5eb0f9529cfd0d58954353b7474b928,byte-identical,0
237ae07c33c096e21804715067fca7b216b4e8211821a6e994b74895df9e2d5f,annotations/narrative_anchors.json,237ae07c33c096e21804715067fca7b216b4e8211821a6e994b74895df9e2d5f,byte-identical,0
d20e4f0380633a95916976e849018b06a4a99f7d19103a17c03cb54e118ab19e,annotations/parent_edges.csv,5ab9062e651e168f3174a94dceca01d5bccd976298d79e2e2fbd9f9a6f95b9a8,source locator alias substitution only,1149
4bd97d868fdbe9582c5a01fd6ca912f8c9dc57c2372b8374efd04efaa1a11f34,annotations/threshold_action_anchors.json,4bd97d868fdbe9582c5a01fd6ca912f8c9dc57c2372b8374efd04efaa1a11f34,byte-identical,0
d89e1f8890daeb9e40d1c856833066868149d30cf5102fd4869df20213ef4794,code/recheck_criteria.py,d89e1f8890daeb9e40d1c856833066868149d30cf5102fd4869df20213ef4794,byte-identical,0
8b6724ae073b5a02a394c4725bede24d449171d44345e93ccb06f06690f774b5,code/repeat_screen.py,8b6724ae073b5a02a394c4725bede24d449171d44345e93ccb06f06690f774b5,byte-identical,0
7f10028d5005d40a055dbd88e594c4c5f739d1e568c26250db9dba11dd75a9da,code/reproduce.py,7f10028d5005d40a055dbd88e594c4c5f739d1e568c26250db9dba11dd75a9da,byte-identical,0
86bb3471f3a8180a15ac804e1b2d9b6c01804c54c9c33895cad41867ecf2ec92,data/adjudication/decisions.csv,86bb3471f3a8180a15ac804e1b2d9b6c01804c54c9c33895cad41867ecf2ec92,byte-identical,0
f048911af649f3003f1b559477ee9555f4d6428cdbd713b49e94b1399bc2a6d7,data/adjudication/initial_screen_coverage.csv,f048911af649f3003f1b559477ee9555f4d6428cdbd713b49e94b1399bc2a6d7,byte-identical,0
eafb2df6eba59d7b0aed12162fcab96ffea4d5c9f4824a11631b71251c72b3d1,data/adjudication/patches.json,eafb2df6eba59d7b0aed12162fcab96ffea4d5c9f4824a11631b71251c72b3d1,byte-identical,0
50f02e3442438664d0d369263169c8fafa55a46bfcb13fcf94688e8d30978b1a,data/core/07_semantic_validation_ledger.csv,1cb6a847887d91b903e047d37f32edd859a66908d1d5b9fb2e625e2e7e111ae7,source locator alias substitution only,7172
2b93a225901b3b8aad1779e8174c35e1a2cff563b24e4da3ec382004e2b335c4,data/diagnostic_only/numeric_candidate_inventory.json,2b93a225901b3b8aad1779e8174c35e1a2cff563b24e4da3ec382004e2b335c4,byte-identical,0
b991b1a2629f0075229106b93e19d01cf08cff6c75f6c98887c1485c46effb3d,data/diagnostic_only/pending_effect_findings.json,b991b1a2629f0075229106b93e19d01cf08cff6c75f6c98887c1485c46effb3d,byte-identical,0
b4fc8185900b5c27449d74b6f2efe10a6f5be83dd497c082952ff589a376dfbf,data/diagnostic_only/v1_arithmetic_subset.csv,0ff0c7901e28b633a719029fac2f51a9f4af12b8f24b12e8659f8e86baa6a011,source locator alias substitution only,6894
cc1c6c0d1bbb8364a29dc01c36311b88ca02236d61d728541f6d0ccae6a03b1d,data/diagnostic_only/v3_arithmetic_candidates_subset.csv,3b89159b92958b40e3039858529d1d934c0a7a4eb7066557c1ae6a62e5edf7d0,source locator alias substitution only,1717
1255172be754bba6490118c59b5d7bc4a78b4b3d4efd9f680ad058e07f768857,data/supplemental_partial/actor_later_360_scope.csv,1255172be754bba6490118c59b5d7bc4a78b4b3d4efd9f680ad058e07f768857,byte-identical,0
d949b3ce6713d35ecc57fb3377a7e14c220f91b1914e5b5fd79c045a76b90da1,data/supplemental_partial/actor_later_actor_branch_coverage.csv,d949b3ce6713d35ecc57fb3377a7e14c220f91b1914e5b5fd79c045a76b90da1,byte-identical,0
cb8f2f3024b5564f28becd0e5fef91628ce61f16fa9d40c68662369b763b30db,data/supplemental_partial/actor_later_ledger.csv,e81d6e12ef2632d73a7b6c31fdb9cd7111d5c385326dad7dc63e06ab46c23aae,source locator alias substitution only,720
3bc3400edd3caf05ba889ef71fe9274f3311223428e5aad427979cc05e310b96,data/supplemental_partial/actor_weight_value_checks.csv,ab8c2a9ea79bcf921f85309c4bbe69b269fb902f8d349624238b5f748980210d,"source locator alias substitution, slash and backslash forms",0
bf107f60016d0f9e8ad275dc890269495d3f13badec0337fae7d3d207fb474a3,data/supplemental_partial/effect_independent_calculations.csv,bf107f60016d0f9e8ad275dc890269495d3f13badec0337fae7d3d207fb474a3,byte-identical,0
3cc02b487596f78ec34e7a7b540393b325833ed37de330a72328ead5da49b4dc,data/supplemental_partial/effect_review_coverage.csv,3cc02b487596f78ec34e7a7b540393b325833ed37de330a72328ead5da49b4dc,byte-identical,0
92953f032f09d9ff9c9225e49a117b72a2f65fde30e12b6664bfe0e0e55425cd,data/supplemental_partial/effect_semantics_ledger.csv,46a98a8a9d96e2d40aa7e16a1542818c214007f1c8e9382114af3cd8011b86ac,source locator alias substitution only,2310
7f2d46bf4b049bcdccd6546660820e375f63ae79f6d7533e1f37ea7347799593,data/supplemental_partial/effect_supplemental_coverage.csv,7f2d46bf4b049bcdccd6546660820e375f63ae79f6d7533e1f37ea7347799593,byte-identical,0
1c3cf44e20178c0986d4c145f0167e886c4d5fca3c144909adf2ed85f63dc648,data/supplemental_partial/effect_supplemental_ledger.csv,c91abaac1f8f54a73809f6772c8a8efa961358f8f10b06c908d732834c7fc962,source locator alias substitution only,164
65f7520839ac5a898009365301cbd72b5d9e093846be0e7f817d189e698984ce,data/supplemental_partial/geometry_effect_ledger.csv,b8002350bb463ca2a08fb11dd87cb53cc447dbf50e51547a91271b08933a243a,source locator alias substitution only,84
63eb33683dfeea0ec5802c0bed6a298bfc298544074040402a08cee18ed9fc48,data/supplemental_partial/inheritance_ledger.csv,6c51c48399e08335e0b050d8c80beef32237d142b1f99818fc66a4b839a39576,source locator alias substitution only,10118
2b3770e9049d20f15177eaba6afd608c0b713b4ce38b0b7741f759d5dffea259,data/supplemental_partial/inheritance_legacy_coverage.csv,d9410ee38a26031269b89700459afa1e405f0c6b24e5e899c9f23c3b331dc3c3,source locator alias substitution only,47
5cfc25b3528e0d94be9249f7af9e48c4f068130f701dae45163c9e1ab80ab999,data/supplemental_partial/narrative_coverage.csv,5cfc25b3528e0d94be9249f7af9e48c4f068130f701dae45163c9e1ab80ab999,byte-identical,0
80c3743758b39468cd31ad3f9f8008a8f265c6161640ab4f4e162c4ca7657b20,data/supplemental_partial/narrative_facet_ledger.csv,6ea08b6ab219c128cd5337d86a0f309f0818155b93b614fa37f5b54d7dd118b8,source locator alias substitution only,145
